model,model_id,condition,ground_truth_class,transition,numerator,denominator,rate,ci_low,ci_high,class_conditional_severity_drop
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_image,severe_damage,severe_to_mild,17,159,0.1069182389937107,0.06783270656566828,0.16454950798057713,0.16981132075471697
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_image,severe_damage,severe_to_little_or_no,5,159,0.031446540880503145,0.01350538616419597,0.07149421357492854,0.16981132075471697
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_image,severe_damage,severe_to_any_lower,22,159,0.13836477987421383,0.09318177259069108,0.2006098647918547,0.16981132075471697
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_text,mild_damage,mild_to_little_or_no,17,86,0.19767441860465115,0.12724351812233703,0.2939591127946234,0.19767441860465115
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_text,severe_damage,severe_to_mild,9,159,0.05660377358490566,0.030061978119632467,0.10406515988853235,0.06918238993710692
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_text,severe_damage,severe_to_little_or_no,1,159,0.006289308176100629,0.001111081403321116,0.03476098006676309,0.06918238993710692
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_text,severe_damage,severe_to_any_lower,10,159,0.06289308176100629,0.03451765794535372,0.11189136463007116,0.06918238993710692
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_joint,mild_damage,mild_to_little_or_no,29,86,0.3372093023255814,0.24616548577577763,0.44217439241027795,0.3372093023255814
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_joint,severe_damage,severe_to_mild,19,159,0.11949685534591195,0.0778501996506691,0.17909578403009646,0.20754716981132076
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_joint,severe_damage,severe_to_little_or_no,7,159,0.0440251572327044,0.02148692054549619,0.08807644832814845,0.20754716981132076
qwen35_27b_bf16__gcp_a100,Qwen/Qwen3.5-27B,misleading_joint,severe_damage,severe_to_any_lower,26,159,0.16352201257861634,0.11410342004642665,0.22881575560515943,0.20754716981132076
