model,model_id,condition,ground_truth_class,transition,numerator,denominator,rate,ci_low,ci_high,class_conditional_severity_drop
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_image,mild_damage,mild_to_severe,0,92,0.0,0.0,0.04008138928562172,0.34782608695652173
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_image,severe_damage,severe_to_mild,9,157,0.05732484076433121,0.030448650929141785,0.10534630505321449,0.09554140127388536
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_image,severe_damage,severe_to_little_or_no,3,157,0.01910828025477707,0.00651947883433197,0.054667847448659365,0.09554140127388536
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_image,severe_damage,severe_to_any_lower,12,157,0.07643312101910828,0.04426106402428891,0.1288377068077498,0.09554140127388536
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_text,little_or_no_damage,little_or_no_to_mild,0,131,0.0,0.0,0.028488707065994576,0.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_text,little_or_no_damage,little_or_no_to_severe,0,131,0.0,0.0,0.028488707065994576,0.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_text,little_or_no_damage,little_or_no_to_any_higher,0,131,0.0,0.0,0.028488707065994576,0.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_text,mild_damage,mild_to_little_or_no,18,92,0.1956521739130435,0.12749843174966963,0.2882032834676653,0.1956521739130435
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_text,mild_damage,mild_to_severe,0,92,0.0,0.0,0.04008138928562172,0.1956521739130435
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_text,severe_damage,severe_to_mild,6,157,0.03821656050955414,0.017630657582683548,0.08086048354999023,0.050955414012738856
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_text,severe_damage,severe_to_little_or_no,1,157,0.006369426751592357,0.0011252464719862937,0.03519286991121673,0.050955414012738856
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_text,severe_damage,severe_to_any_lower,7,157,0.044585987261146494,0.021762749846156178,0.08916299623641175,0.050955414012738856
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_joint,little_or_no_damage,little_or_no_to_mild,0,131,0.0,0.0,0.028488707065994576,0.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_joint,little_or_no_damage,little_or_no_to_severe,0,131,0.0,0.0,0.028488707065994576,0.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_joint,little_or_no_damage,little_or_no_to_any_higher,0,131,0.0,0.0,0.028488707065994576,0.0
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_joint,mild_damage,mild_to_little_or_no,37,92,0.40217391304347827,0.3078495879261849,0.5043402491079584,0.40217391304347827
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_joint,mild_damage,mild_to_severe,0,92,0.0,0.0,0.04008138928562172,0.40217391304347827
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_joint,severe_damage,severe_to_mild,11,157,0.07006369426751592,0.03956978943169854,0.12109437645044605,0.10828025477707007
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_joint,severe_damage,severe_to_little_or_no,3,157,0.01910828025477707,0.00651947883433197,0.054667847448659365,0.10828025477707007
qwen38_27b_bf16__gcp_a100,Qwen/Qwen3.8-27B,misleading_joint,severe_damage,severe_to_any_lower,14,157,0.08917197452229299,0.053860798787169005,0.14410718194465802,0.10828025477707007
